gene_id,symbol,biotype,logFC,logCPM,F,PValue,FDR,regulation
ENSG00000162496,DHRS3,protein_coding,3.48892528847685,5.22534120772418,70.8352817134921,1.20392268619021e-07,1.98443621579817e-05,Up
ENSG00000107738,VSIR,protein_coding,2.80978723811989,3.52013690474674,19.3906911598086,0.000339361612372441,0.00722107521781133,Up
ENSG00000103196,CRISPLD2,protein_coding,2.75954646815244,4.35495839265266,189.763498670351,4.88904821812562e-11,1.11467762839874e-07,Up
ENSG00000159251,ACTC1,protein_coding,2.45613642289434,7.28352511585337,246.284255660043,5.49190210879676e-12,2.05671733974438e-08,Up
ENSG00000167772,ANGPTL4,protein_coding,2.29821407029027,7.10170167718929,19.6538540971139,0.000322760820719218,0.00700718419474476,Up
ENSG00000138798,EGF,protein_coding,1.72968996794082,4.92127192785819,54.9407902437813,7.25209415834277e-07,7.6504486261954e-05,Up
ENSG00000078401,EDN1,protein_coding,1.64381395871396,5.23113339053021,118.113194720096,2.29513756338456e-09,1.0744112718594e-06,Up
ENSG00000136960,ENPP2,protein_coding,1.61928564837123,3.88632420919431,16.3938509750659,0.00074864814020998,0.0128905162532707,Up
ENSG00000157168,NRG1,protein_coding,1.60003531409472,6.22857325351533,269.495484957796,2.55706328948115e-12,1.91524040382138e-08,Up
ENSG00000087008,ACOX3,protein_coding,1.58696661773919,4.45321847114019,145.334575854872,4.36196765898142e-10,4.08389222072135e-07,Up
ENSG00000164741,DLC1,protein_coding,1.44164362116945,4.78585415177151,31.5300064425442,2.52556151850978e-05,0.00102251112289937,Up
ENSG00000178776,C5orf46,protein_coding,1.42935681800295,5.87832890700106,72.1564503217159,9.9588887171425e-08,1.77600182122375e-05,Up
ENSG00000135074,ADAM19,protein_coding,1.39304138094766,6.86075644414633,43.4209886545641,3.49221507679285e-06,0.000246761235143193,Up
ENSG00000211448,DIO2,protein_coding,1.39085161501986,4.85669844919285,32.4603835797498,2.12707827058576e-05,0.000885100902593741,Up
ENSG00000138772,ANXA3,protein_coding,1.3663895364001,6.26729495808075,121.657453749094,1.81583033538168e-09,9.0670461413392e-07,Up
ENSG00000073008,PVR,protein_coding,1.35335587201621,4.93610838007674,127.814010967654,1.22571861236351e-09,7.06202492815593e-07,Up
ENSG00000048707,VPS13D,protein_coding,1.31800488615508,4.58002364503669,21.1249742939273,0.000225479193442046,0.00524484210832585,Up
ENSG00000163431,LMOD1,protein_coding,1.31298754904894,5.92760641531389,110.282019269197,3.93910632578097e-09,1.56561297980188e-06,Up
ENSG00000144476,ACKR3,protein_coding,1.21837944158952,4.36638312699864,31.6664407314824,2.38775281503295e-05,0.000977282436316766,Up
ENSG00000077092,RARB,protein_coding,1.21557544381396,4.65413692442409,59.9325073363118,3.75135472342313e-07,4.92941173305951e-05,Up
ENSG00000169991,IFFO2,protein_coding,1.21249442828611,5.80305687767748,158.842807487549,2.11664197607616e-10,2.6422747334684e-07,Up
ENSG00000143367,TUFT1,protein_coding,1.20603585633655,5.0753169540859,40.3026193923825,5.57612822934853e-06,0.000351863168110208,Up
ENSG00000183671,CMKLR2,protein_coding,1.20340324582492,4.02013089324205,24.4380008401715,0.000103235235154049,0.00292890875493873,Up
ENSG00000102287,GABRE,protein_coding,1.20093865361592,4.44414831437853,20.3829021274018,0.000269701720709063,0.00607301843285128,Up
ENSG00000162614,NEXN,protein_coding,1.1650236477916,6.85176575309251,185.312455635779,5.9528845308344e-11,1.11467762839874e-07,Up
ENSG00000092969,TGFB2,protein_coding,1.15872923202039,7.54716274350971,146.507430547782,4.08694767708587e-10,4.08389222072135e-07,Up
ENSG00000143322,ABL2,protein_coding,1.14952536597293,5.42668572480987,26.8980965049515,6.24347636595526e-05,0.00200504054889622,Up
ENSG00000115232,ITGA4,protein_coding,1.14682288602319,5.52843364324811,20.889261523559,0.000238583024817844,0.00546479160821299,Up
ENSG00000086991,NOX4,protein_coding,1.14063751177744,4.28138086106479,54.0060107564878,7.75345068919617e-07,7.95525283042183e-05,Up
ENSG00000135636,DYSF,protein_coding,1.13794782827059,4.04808309691261,12.2413710669033,0.00255751492868749,0.0308466776423016,Up
ENSG00000113448,PDE4D,protein_coding,1.13573357871075,4.01580431045079,14.3275456640585,0.00134372640664659,0.0194260211377399,Up
ENSG00000106617,PRKAG2,protein_coding,1.12470608028914,4.91509948117068,17.0047388201768,0.000640721942951808,0.0116480760988084,Up
ENSG00000144824,PHLDB2,protein_coding,1.12387280815782,5.65336061122371,170.606389624016,1.17823388170814e-10,1.76499435479879e-07,Up
ENSG00000110090,CPT1A,protein_coding,1.1225392886126,6.06379203416419,121.751741454089,1.8046979094884e-09,9.0670461413392e-07,Up
ENSG00000165617,DACT1,protein_coding,1.10462966921464,4.59390734119757,70.1051597609058,1.2187458735209e-07,1.98443621579817e-05,Up
ENSG00000117525,F3,protein_coding,1.10362269197833,6.97268838349266,74.8362620906408,7.55110396197028e-08,1.45921107851386e-05,Up
ENSG00000153179,RASSF3,protein_coding,1.10345791009123,5.86046983359901,33.6648420624287,1.70622999391119e-05,0.000769859196047881,Up
ENSG00000115419,GLS,protein_coding,1.07768257682644,6.72123951970718,54.1143998915963,7.6470590196319e-07,7.95506556347819e-05,Up
ENSG00000197646,PDCD1LG2,protein_coding,1.06811997772203,4.56197372676355,33.9740806707492,1.56687106364291e-05,0.000715601479675937,Up
ENSG00000099860,GADD45B,protein_coding,1.05234306381293,6.04445597691095,23.2363151841399,0.000138081897253868,0.00352980686154085,Up
ENSG00000278948,,TEC,1.04365134909191,5.17481647813705,95.0420930748248,1.24878310427815e-08,3.547543869356e-06,Up
ENSG00000206538,VGLL3,protein_coding,1.03656109393939,4.00928837605663,18.5395089075025,0.000420593769542295,0.00865452564250492,Up
ENSG00000133424,LARGE1,protein_coding,1.02336188706012,4.40121016944262,67.7063986677495,3.36850527706905e-06,0.000246761235143193,Up
ENSG00000103642,LACTB,protein_coding,1.02196303590806,5.12082027029118,18.8237032965815,0.000397828419665067,0.00825411319471289,Up
ENSG00000137124,ALDH1B1,protein_coding,1.0185733630221,5.89708124135699,38.0475030182999,7.87416260281911e-06,0.00046773773941348,Up
ENSG00000095739,BAMBI,protein_coding,1.00680628818181,4.2896842631782,92.1616792015685,0.000114600051494572,0.00312128867525216,Up
ENSG00000133083,DCLK1,protein_coding,1.00491828381558,5.52775763420022,17.3733500669684,0.000580493293302376,0.0108969793655008,Up
ENSG00000173193,PARP14,protein_coding,-1.00415790448338,6.57279036953637,11.2638324123895,0.00352643694618529,0.0393636553307419,Down
