gene_id,symbol,biotype,logFC,logCPM,F,PValue,FDR,regulation
ENSG00000169248,CXCL11,protein_coding,10.7162490927341,6.89588685536417,60.8736213000683,1.1940239200635e-06,1.16196301009086e-05,Up
ENSG00000108700,CCL8,protein_coding,9.98231270647732,6.03171600422193,27.5254941018578,0.000208185194328892,0.000874051068118499,Up
ENSG00000131203,IDO1,protein_coding,9.88391865032672,5.94807024797318,31.0800028849307,0.00012257194623338,0.000553050528486755,Up
ENSG00000138755,CXCL9,protein_coding,9.73659673608427,5.84869119936376,33.3885147781741,8.89777053900845e-05,0.000421352392400758,Up
ENSG00000169245,CXCL10,protein_coding,9.20835672511484,8.06800107258938,82.7049509090169,3.85277542633989e-08,6.8220538873016e-07,Up
ENSG00000134321,RSAD2,protein_coding,8.83893065357442,7.21768852565676,167.42977633437,1.53680517323704e-10,8.99271152151986e-09,Up
ENSG00000000938,FGR,protein_coding,8.77280440571207,4.18192056734939,16.9375862616035,0.00144324905541737,0.00455712511876161,Up
ENSG00000162654,GBP4,protein_coding,8.40743233055765,4.65685525410089,37.5599752406507,5.19389416356331e-05,0.000264385875370382,Up
ENSG00000135114,OASL,protein_coding,8.24897949574153,4.38462064740401,94.475399810398,7.45053089428813e-08,1.14448076955246e-06,Up
ENSG00000168334,XIRP1,protein_coding,8.13657399536648,4.27282204470257,22.7859583710462,0.000458385881602108,0.0017261489458018,Up
ENSG00000168062,BATF2,protein_coding,8.02585592455779,4.22699462496904,86.7675546143501,7.89796468220061e-07,8.18290407133306e-06,Up
ENSG00000108688,CCL7,protein_coding,7.90858120265402,3.87071491865269,30.7089684538184,0.000129260835410082,0.000576287891203281,Up
ENSG00000196218,RYR1,protein_coding,7.67694689897915,3.96235375217987,159.039303705921,2.01070475098747e-09,6.38143160376955e-08,Up
ENSG00000119922,IFIT2,protein_coding,7.42192386403797,8.38480510591665,169.628050076404,1.38170855811877e-10,8.41381878073953e-09,Up
ENSG00000233975,LINC02574,lncRNA,7.42063867734648,3.71771991279418,84.3391980095412,1.42924991200804e-07,1.96784592664342e-06,Up
ENSG00000163131,CTSS,protein_coding,7.13420167267831,6.14239715421535,27.0318040299747,6.09289513607646e-05,0.000303833452524718,Up
ENSG00000134326,CMPK2,protein_coding,6.87034393024156,5.73678676357412,136.279017195735,8.09245989455001e-10,3.20155812788247e-08,Up
ENSG00000225492,GBP1P1,transcribed_unprocessed_pseudogene,6.8486854563139,3.27160575116873,36.1939273564986,5.84706776101838e-05,0.000292744234826388,Up
ENSG00000089127,OAS1,protein_coding,6.81363612213172,5.69392670721299,151.857940804732,3.39307528304458e-10,1.66755710238173e-08,Up
ENSG00000177294,FBXO39,protein_coding,6.79550328407804,3.27106755782268,48.4799535203121,1.44330986252305e-05,9.19533842284233e-05,Up
ENSG00000119917,IFIT3,protein_coding,6.77948041268366,8.56933598931517,275.239120522554,2.46558450086111e-12,3.92919742796802e-10,Up
ENSG00000111335,OAS2,protein_coding,6.54508745817091,5.42421942950328,87.27778736744,2.57490314189724e-08,4.94513449559239e-07,Up
ENSG00000113263,ITK,protein_coding,6.48366105465018,5.08594413085601,59.9569137137723,3.95405716914884e-07,4.64777317770489e-06,Up
ENSG00000216490,IFI30,protein_coding,6.33845491001973,6.07877274143783,26.139263591568,7.33603830231298e-05,0.000356104516424655,Up
ENSG00000185745,IFIT1,protein_coding,6.11717795998679,6.90702011760353,284.341860943207,1.87212804276883e-12,3.18687250916785e-10,Up
